blueprint,link,submittedAt,title
"42e6df90-8742-54f2-8ef0-9d87d1e60993","https://xkcd.com/2916/#xt=1&yt=19&v=274","2024-04-07T03:09:39.37062793Z","Popcorn"
"2cecb0c5-0e7f-5a8b-923c-8b92f3ee7169","https://xkcd.com/2916/#xt=1&yt=33&v=492","2024-04-08T01:44:50.231319413Z","error correction"
"af87e536-29d8-571b-9b05-bec59c10c948","https://xkcd.com/2916/#xt=4&yt=28&v=437","2024-04-07T19:45:44.949508701Z","Blown away"
"ed4f26ed-bda4-59ae-ace3-454f3beacc13","https://xkcd.com/2916/#xt=10&yt=59&v=812","2024-04-11T16:34:59.984499158Z","And yet they called me mad when I filled the machine with BEES"
"833cb7e9-c171-53fd-8c1a-1a533f357f87","https://xkcd.com/2916/#xt=7&yt=76&v=1035","2024-04-18T13:26:26.99801618Z","Home-Made Fusion Reactor"
"6edcac42-5403-549c-9071-78f6bdbe0cb6","https://xkcd.com/2916/#xt=0&yt=54&v=752","2024-04-10T02:47:07.436314974Z","Vacuum-Sealed"
"01b1cdd0-260c-586a-91f8-325371b29bcf","https://xkcd.com/2916/#xt=11&yt=36&v=543","2024-04-08T05:55:41.549206615Z","Just enough to keep the cat interested"
"586b3edb-a098-5ed3-ab48-7e8ab8f705e6","https://xkcd.com/2916/#xt=10&yt=61&v=848","2024-04-11T18:41:41.820615488Z","fascinating invention"
"1a80746b-a8af-51d2-a4d4-0fa8f727f267","https://xkcd.com/2916/#xt=3&yt=8&v=136","2024-04-06T22:08:57.197979195Z","sorry"
"99cdc836-7484-51c7-b340-966387b56810","https://xkcd.com/2916/#xt=6&yt=42&v=606","2024-04-08T20:55:55.653898825Z","technically bubblesort"
"c30a238f-0e07-52ac-b27b-9985caada5f5","https://xkcd.com/2916/#xt=11&yt=74&v=1009","2024-04-15T16:24:02.463207939Z","zipzopzap"
"d705b462-57f0-5b3f-8138-e3bd73ab0964","https://xkcd.com/2916/#xt=11&yt=29&v=438","2024-04-07T20:01:38.794133031Z","its a groovy time for a movie time"
"2cfc2de5-adab-5a52-8a62-14a5b8eb3691","https://xkcd.com/2916/#xt=11&yt=70&v=959","2024-04-14T04:48:29.677773206Z","Coding for the enterprise"
"01c3bb3f-b43d-54dc-ab1f-ae1392ae7c10","https://xkcd.com/2916/#xt=10&yt=40&v=579","2024-04-08T18:11:50.975820126Z","Error-checking redundancy"
"6eecd4f9-ab4a-53d9-b2c5-316138c001d5","https://xkcd.com/2916/#xt=3&yt=85&v=1136","2024-04-23T23:24:03.096443654Z","haphazard is a compliment"
"4312d3e3-52c1-5e3c-9f86-a6ad715c7c13","https://xkcd.com/2916/#xt=0&yt=39&v=582","2024-04-08T18:32:37.28331517Z","not fast enough"
"834c210f-636b-545b-81d8-bced1daf23dc","https://xkcd.com/2916/#xt=4&yt=0&v=9","2024-04-06T16:48:28.10295523Z","samba"
"afa9129e-1d7f-59d9-9f3c-7f63084df066","https://xkcd.com/2916/#xt=0&yt=55&v=761","2024-04-10T14:19:42.871747083Z","FLoat Tank"
"edc90f09-37c3-5a78-bce5-ab964553953d","https://xkcd.com/2916/#xt=7&yt=20&v=299","2024-04-07T03:39:56.041767978Z","big tony"
"587f2e24-0c07-5dfe-b6d6-3e3d18ce3ed6","https://xkcd.com/2916/#xt=0&yt=33&v=477","2024-04-07T22:27:31.248101306Z","panning for green"
"1aab380d-af27-51e7-9814-57f66b5ca8d3","https://xkcd.com/2916/#xt=1&yt=82&v=1103","2024-04-23T14:02:48.331289438Z","Could be worse"
"c32917aa-418e-5fc6-80eb-8b9f373dd13e","https://xkcd.com/2916/#xt=6&yt=3&v=59","2024-04-06T19:22:46.700830517Z","The Holar Express"
"d71e9a0a-4515-5165-a5c0-eccc3908bdba","https://xkcd.com/2916/#xt=8&yt=83&v=1114","2024-04-21T19:45:48.720622492Z","that's not how you use them"
"99d71498-d157-5a5c-8f0f-b56956b5b6f8","https://xkcd.com/2916/#xt=3&yt=60&v=830","2024-04-11T16:35:08.558638902Z",""
"6f2aa382-b4e6-5642-8e69-656f40c9ae80","https://xkcd.com/2916/#xt=7&yt=0&v=2","2024-04-06T16:35:47.215417365Z","dont forget to switch your fans"
"2d04170a-6546-51ab-82b2-8a76c87ee542","https://xkcd.com/2916/#xt=7&yt=11&v=174","2024-04-06T23:09:12.806070752Z","our house, in the middle of my sort"
"8352b940-eea1-591a-9d5f-5d2d44f01b27","https://xkcd.com/2916/#xt=0&yt=61&v=838","2024-04-11T16:45:41.629846663Z","Popcorn maker"
"edeec83e-57be-56a2-a946-2ae4d6994e0b","https://xkcd.com/2916/#xt=5&yt=82&v=1099","2024-04-21T18:22:47.994821425Z","Cat's Cradle"
"431b3374-91dc-5700-baa0-bfd3f65ef82d","https://xkcd.com/2916/#xt=7&yt=89&v=1188","2024-04-25T05:14:24.589539692Z","brick bounce fan fun"
"01c856e5-9953-5e58-ba88-bd1bf9e86747","https://xkcd.com/2916/#xt=0&yt=15&v=163","2024-04-06T22:55:18.9299538Z","spin sorter"
"58ea7afd-3723-5a6d-9f77-6d5a296824b6","https://xkcd.com/2916/#xt=5&yt=69&v=941","2024-04-13T14:34:04.701817658Z","Patterns, 100% Ball Transfer"
"afcfad95-dc39-574c-9999-323158eb2e22","https://xkcd.com/2916/#xt=8&yt=63&v=865","2024-04-12T03:02:33.151565113Z","will it work? see bottom left"
